name,State,frequency,state_percentage
Aariz,NJ,12,0.00013
Aariz,NY,142,0.00055
Aariz,TX,198,0.00079
Aariz,VA,35,0.00047
Aarna,AL,6,0.0001
Aarna,AZ,23,0.00057
Aarna,CA,491,0.00148
Aarna,CO,6,0.00015
Aarna,CT,14,0.00038
Aarna,FL,55,0.00049
Aarna,GA,105,0.00113
Aarna,IL,130,0.00079
Aarna,IN,6,8e-05
Aarna,MA,64,0.00078
Aarna,MD,6,0.00012
Aarna,MI,36,0.00029
Aarna,MN,5,8e-05
Aarna,NC,107,0.00113
Aarna,NJ,295,0.00322
Aarna,NY,43,0.00017
Aarna,OH,39,0.00025
Aarna,OR,6,0.0002
Aarna,PA,81,0.00045
Aarna,TN,11,0.00016
Aarna,TX,278,0.0011
Aarna,VA,105,0.0014
Aarna,WA,83,0.00155
Aarnav,CA,74,0.00022
Aarnav,IL,5,3e-05
Aarnav,MI,6,5e-05
Aarnav,NJ,19,0.00021
Aarnav,OH,11,7e-05
Aarnav,PA,5,3e-05
Aarnav,VA,5,7e-05
Aarnik,TX,5,2e-05
Aarohi,AZ,5,0.00012
Aarohi,CA,164,0.0005
Aarohi,GA,9,0.0001
Aarohi,IL,30,0.00018
Aarohi,MA,10,0.00012
Aarohi,NC,12,0.00013
Aarohi,NJ,76,0.00083
Aarohi,NY,17,7e-05
Aarohi,OH,17,0.00011
Aarohi,PA,8,4e-05
Aarohi,TX,68,0.00027
Aarohi,VA,19,0.00025
Aarohi,WA,21,0.00039
Aaron,AK,1775,0.3847
Aaron,AL,7418,0.12153
Aaron,AR,6232,0.17311
Aaron,AZ,11118,0.2758
Aaron,CA,82000,0.2477
Aaron,CO,9831,0.24821
Aaron,CT,4662,0.12795
Aaron,DC,2997,0.20072
Aaron,DE,1484,0.21872
Aaron,FL,22690,0.20145
Aaron,GA,12993,0.14012
Aaron,HI,3106,0.30361
Aaron,IA,8255,0.18744
Aaron,ID,3106,0.23778
Aaron,IL,26298,0.16045
Aaron,IN,17240,0.21916
Aaron,KS,7832,0.22344
Aaron,KY,9721,0.16825
Aaron,LA,10069,0.16745
Aaron,MA,8632,0.10575
Aaron,MD,9677,0.19342
Aaron,ME,2624,0.179
Aaron,MI,25218,0.2006
Aaron,MN,12844,0.20998
Aaron,MO,14406,0.1946
Aaron,MS,5134,0.12157
Aaron,MT,1974,0.19494
Aaron,NC,15340,0.16149
Aaron,ND,2084,0.18392
Aaron,NE,4892,0.20045
Aaron,NH,2103,0.20148
Aaron,NJ,11116,0.12127
Aaron,NM,4659,0.2608
Aaron,NV,3760,0.34432
Aaron,NY,34376,0.13393
Aaron,OH,30142,0.19599
Aaron,OK,8496,0.18805
Aaron,OR,8292,0.2757
Aaron,PA,23827,0.13359
Aaron,RI,1487,0.12219
Aaron,SC,6101,0.12661
Aaron,SD,2113,0.18801
Aaron,TN,10647,0.15094
Aaron,TX,54997,0.21811
Aaron,UT,6480,0.23887
Aaron,VA,13215,0.17565
Aaron,VT,1028,0.17911
Aaron,WA,14127,0.26438
Aaron,WI,13145,0.19883
Aaron,WV,4656,0.14988
Aaron,WY,1127,0.25042
Aaronjames,CA,16,5e-05
Aaronjoshua,CA,5,2e-05
Aaronmichael,CA,7,2e-05
Aarron,CA,29,9e-05
Aarron,FL,5,4e-05
Aarron,NY,6,2e-05
Aarron,OH,13,8e-05
Aarron,OK,5,0.00011
Aarron,PA,10,6e-05
Aarron,TX,77,0.00031
Aarti,CA,5,2e-05
Aarti,NJ,5,5e-05
Aarti,NY,12,5e-05
Aarush,AZ,12,0.0003
Aarush,CA,518,0.00156
Aarush,CT,17,0.00047
Aarush,FL,41,0.00036
Aarush,GA,51,0.00055
Aarush,IL,175,0.00107
Aarush,MA,100,0.00123
Aarush,MD,62,0.00124
Aarush,MI,41,0.00033
Aarush,MN,7,0.00011
Aarush,MO,5,7e-05
Aarush,NC,82,0.00086
Aarush,NJ,311,0.00339
Aarush,NY,106,0.00041
Aarush,OH,90,0.00059
Aarush,PA,78,0.00044
Aarush,TX,291,0.00115
Aarush,VA,102,0.00136
Aarush,WA,103,0.00193
Aarush,WI,10,0.00015
Aarushi,CA,130,0.00039
Aarushi,IL,11,7e-05
Aarushi,NJ,51,0.00056
Aarushi,NY,11,4e-05
Aarushi,TX,32,0.00013
Aarvi,CA,29,9e-05
Aarvi,GA,5,5e-05
Aarvi,IL,10,6e-05
