sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
M,2003,Uriel,8,NM,275,0.076,552,0.043
M,2003,Uriah,6,NM,327,0.057,683,0.032
M,2004,Uriel,7,NM,302,0.064,615,0.037
M,2004,Ulises,5,NM,369,0.046,803,0.026
M,2004,Uriah,5,NM,369,0.046,803,0.026
M,2005,Uriel,17,NM,167,0.156,305,0.088
M,2006,Uriel,9,NM,265,0.079,520,0.045
M,2007,Uriel,11,NM,233,0.096,451,0.055
M,2007,Ulises,8,NM,288,0.07,580,0.04
M,2008,Uriah,12,NM,224,0.108,418,0.061
M,2008,Uriel,12,NM,224,0.108,418,0.061
M,2008,Urijah,9,NM,276,0.081,532,0.046
M,2008,Ulises,5,NM,421,0.045,882,0.025
M,2009,Urijah,20,NM,146,0.189,249,0.107
M,2009,Uriah,18,NM,164,0.17,281,0.097
M,2009,Uriel,13,NM,207,0.123,379,0.07
M,2009,Ulises,11,NM,230,0.104,431,0.059
M,2010,Uriah,17,NM,165,0.17,279,0.097
M,2010,Urijah,15,NM,183,0.15,313,0.086
M,2010,Uriel,14,NM,192,0.14,335,0.08
M,2010,Ulises,5,NM,400,0.05,819,0.029
M,2011,Uriah,16,NM,171,0.168,285,0.095
M,2011,Urijah,16,NM,171,0.168,285,0.095
M,2011,Uriel,9,NM,257,0.094,488,0.053
M,2012,Urijah,19,NM,146,0.196,240,0.113
M,2012,Uriah,15,NM,172,0.155,298,0.089
M,2012,Uriel,5,NM,403,0.052,806,0.03
M,2013,Uriah,15,NM,166,0.163,284,0.094
M,2013,Uriel,8,NM,277,0.087,519,0.05
M,2013,Urijah,5,NM,389,0.054,778,0.031
M,2014,Uriah,20,NM,127,0.22,214,0.125
M,2014,Urijah,9,NM,250,0.099,465,0.056
M,2014,Uriel,7,NM,308,0.077,592,0.044
M,2014,Uzziah,5,NM,386,0.055,790,0.031
M,2015,Uriah,14,NM,176,0.158,295,0.091
M,2015,Uriel,9,NM,262,0.102,473,0.058
M,2015,Urijah,8,NM,281,0.09,524,0.052
M,2015,Ulises,7,NM,314,0.079,587,0.045
M,2016,Uriah,16,NM,151,0.191,257,0.109
M,2016,Uriel,7,NM,299,0.084,566,0.048
M,2016,Urijah,6,NM,332,0.072,647,0.041
M,2017,Uriah,17,NM,130,0.21,212,0.122
M,2017,Uriel,11,NM,200,0.136,353,0.079
M,2017,Urijah,5,NM,390,0.062,738,0.036
M,2018,Uriel,10,NM,222,0.131,390,0.074
M,2018,Uriah,9,NM,241,0.118,442,0.067
M,2019,Uriah,14,NM,155,0.184,263,0.106
M,2019,Uriel,7,NM,306,0.092,550,0.053
M,2020,Uriel,9,NM,239,0.124,411,0.072
M,2020,Uriah,7,NM,291,0.096,516,0.056
M,2021,Uriel,10,NM,221,0.143,368,0.083
M,2021,Uriah,9,NM,243,0.128,413,0.075
M,2022,Uriel,9,NM,228,0.135,395,0.078
M,2022,Uriah,8,NM,252,0.12,440,0.069
M,2022,Urijah,5,NM,357,0.075,674,0.043
M,2023,Uriel,9,NM,211,0.145,389,0.082
M,2023,Uriah,5,NM,342,0.08,658,0.046
M,2024,Uriah,15,NM,134,0.233,227,0.132
M,2024,Uriel,8,NM,249,0.124,449,0.071
F,1919,Umeno,5,HI,165,0.175,276,0.1
F,1973,Uilani,6,HI,222,0.132,426,0.058
F,1977,Uilani,6,HI,227,0.129,447,0.055
F,1979,Uilani,5,HI,279,0.105,539,0.045
F,1981,Uilani,9,HI,147,0.185,312,0.077
F,1982,Uilani,6,HI,237,0.117,473,0.05
F,1984,Uilani,5,HI,279,0.095,535,0.041
F,1987,Uilani,6,HI,208,0.124,426,0.052
F,1988,Uilani,6,HI,219,0.121,438,0.051
F,1990,Uilani,5,HI,279,0.092,548,0.039
F,1995,Uilani,5,HI,258,0.114,509,0.048
M,2008,Urijah,7,HI,191,0.14,357,0.082
M,2008,Uriah,6,HI,222,0.12,416,0.07
M,2009,Urijah,7,HI,180,0.152,348,0.088
